"","Country","Country_code","Year","ln_CO2","ln_IU","ln_MIS","ln_OP","ln_GDP","ln_TOG","ln_REC","ln_ERT","ln_R","ln_GEE","ln_LS","ln_LE","ln_ME","ln_HDI","ln_AE","ln_SE","ln_TR","ln_UP","ln_UPP","ln_MAN","ln_IND","ln_FDI","ln_Exp","ln_Man_2","ln_FDI_2"
"Australia-2003","Australia",1,"2003",2.8836067870721,NA,4.28814322489895,NA,10.0734795457025,3.69442160299678,1.96711235670592,9.47588342489182,7.90137735379262,NA,1.99343260234626,4.38500998493375,NA,-0.0987159729391577,4.60517018598809,NA,3.61417570836852,16.6269028991741,4.43489181799645,3.40945096106642,3.42654172025027,4.08520795397729,25.8683945292291,2.38504537877218,1.92198614075254
"Australia-2004","Australia",1,"2004",2.90975136333009,NA,4.41533967523169,NA,10.335918897543,3.61172062125,1.89911798754855,9.63387130589597,NA,NA,NA,4.38813598332144,2.44342558396129,-0.0965109003808437,4.60517018598809,NA,3.67049099291336,16.6390166445638,4.43631356864766,3.31455340953559,3.29948289481502,4.16692599452773,25.8815969666115,2.38685327298687,6.98450782182951
"Australia-2005","Australia",1,"2005",2.90921059918039,4.14313472639153,4.51432504799173,NA,10.4476040961991,3.66823261928294,1.90359895098359,9.67346791503246,NA,2.60897579291398,1.98587109007918,4.39248999497714,2.44647069529774,-0.0932123817221787,4.60517018598809,NA,3.7282017246101,16.652597448965,4.43772147801684,3.22626776474393,3.29290855088027,3.98756630131238,25.9156082118967,2.33513751904349,-3.60881808242921
"Australia-2006","Australia",1,"2006",2.91020169514645,4.18965474202643,4.57001457952119,3.8286413964891,10.5070032092927,3.72780637909423,1.92424865227413,9.71232159911824,NA,2.5785639315865,1.98151960727268,4.39496091770722,2.45484341200691,-0.089924707527987,4.60517018598809,NA,3.7388936307791,16.6674860805097,4.43911560165801,3.23786268055071,3.29333615878642,4.12094098933605,25.9450519111438,2.29124467393757,4.08488203440498
"Australia-2007","Australia",1,"2007",2.91890940475336,4.24060706920035,4.62556355444862,3.85014760171006,10.6219065646441,3.73853937345048,1.9387416595767,9.86404169403954,8.29519872964569,2.56727508338642,NA,4.39805601160343,2.4606020035956,-0.0888312137066157,4.60517018598809,NA,3.75818009490172,16.6871754280225,4.44055494311295,3.33396797850612,3.38650685784061,4.13889510972558,25.9857789409484,2.22844799905854,5.20115545952257
"Australia-2008","Australia",1,"2008",2.90710589581147,4.27207225000583,4.64539556640954,3.93182563272433,10.8133412214629,3.75803401051635,1.9154509415706,9.82881734543488,8.29891279576801,2.53367459158518,2.00822034326334,4.39931534432361,2.47969559579991,-0.08446915662645,4.60517018598809,NA,3.82423834771585,16.7086400099244,4.44198044331016,3.40347211931154,3.37316027606771,4.12406967125861,26.0251855203393,2.21895386328348,4.27796453137459
"Australia-2009","Australia",1,"2009",2.90269216218684,4.30743777768281,4.62975405217798,4.06113242801599,10.6645347462507,3.82312089563406,1.96711235670592,9.83598945617313,8.369275612061,2.5968705619554,2.00223866956622,4.40114155544413,2.48382940309941,-0.0822952427268302,4.60517018598809,NA,3.70499071787969,16.7306600738773,4.44339215842527,3.03810186546417,3.24640597462729,4.10464296489789,26.0490781200114,2.13394540679552,3.08878274061045
"Australia-2010","Australia",1,"2010",2.8673344965311,4.33073334028633,4.62677214841142,4.21005136993407,10.8615785302147,3.70180383926479,2.09924416897602,10.0543683205957,8.3850777102016,2.6619364771698,1.97346774462725,4.40299429324401,2.48777253920105,-0.0801260444792849,4.60517018598809,NA,3.73544643455506,16.74761509549,4.44479014390949,3.27833130180538,3.3322098904931,4.10425895392026,26.0950630567565,2.07816236631635,3.06550804311002
"Australia-2011","Australia",1,"2011",2.85044148585509,4.37560226389976,4.66725248276233,4.00751498688737,11.0444635614527,3.73391379051825,2.11866225483312,10.1975953109777,8.41896473758942,2.60157793113209,1.99662622899367,4.40543942805002,2.49451368739935,-0.0768810443359576,4.60517018598809,NA,3.76607995731748,16.7628946696514,4.44617445449763,3.24749534161548,3.26525862818611,4.13067881196696,26.1035035895128,1.99685026765758,4.6878302982878
"Australia-2012","Australia",1,"2012",2.83450910584628,4.36944785246702,4.67355562355774,4.20035486672142,11.1279203388802,3.76507017786979,2.1150499691472,10.4822727140836,8.36954363342734,2.57827557761089,1.98630467534067,4.40728422743064,2.5092528609249,-0.0725706928348354,4.60517018598809,NA,3.71864284707586,16.7815479710212,4.44736951972405,3.30520316346839,3.4335468131741,4.11500800332781,26.1485252686892,1.95282518036913,3.72039040303077
